Reference, Value, Footprint, Datasheet, DigiKey
P1,CONN_6,,,SC1631-ND
P2,CONN_6,,,SC1738-ND
J1,RCA,,,CP-1414-ND
J2,RCA,,,CP-1413-ND
C14,470u,,,493-1084-ND
Q1,BD241A,TO-220,,BD241CTU-ND
R8,10k,,,10.0KXBK-ND
C4,10u,,,493-12772-1-ND
R5,3.32k,,,3.32KXBK-ND
U1,OPA209-SOT23,,,296-28152-1-ND
U7,REF02,,,REF02CPZ-ND
R14,1k,,,1.00KXBK-ND
D1,1N4745,,,1N4745A-ND
U4,2N6507,TO-220AB,http://www.onsemi.com/pub_link/Collateral/2N6504-D.PDF,2N6507GOS-ND
R7,3.32k,,,3.32KXBK-ND
D3,1N4745,,,1N4745A-ND
Q3,BD242,TO220,,BD242CGOS-ND
Q2,BD241A,TO-220,,BD241CTU-ND
R12,47,,,S47CACT-ND
R9,4.99k,,,4.99KXBK-ND
R6,1.5k,,,1.50KXBK-ND
C2,47u,,,493-12779-1-ND
D2,1N4731,,,1N4731A-ND
R19,750,,,750XBK-ND
U5,2N6507,TO-220AB,http://www.onsemi.com/pub_link/Collateral/2N6504-D.PDF,2N6507GOS-ND
U6,2N6507,TO-220AB,http://www.onsemi.com/pub_link/Collateral/2N6504-D.PDF,2N6507GOS-ND
C18,47n,,,399-4372-ND
D4,1N4734,,,1N4734AFSCT-ND
U8,2N6507,TO-220AB,http://www.onsemi.com/pub_link/Collateral/2N6504-D.PDF,2N6507GOS-ND
C20,470n,,,445-8425-ND
C7,470u,,,493-1084-ND
C8,470u,,,493-1084-ND
C9,470u,,,493-1084-ND
C19,470n,,,445-8425-ND
C17,470n,,,445-8425-ND
C16,470n,,,445-8425-ND
C15,470n,,,445-8425-ND
C13,470n,,,445-8425-ND
C10,47n,,,399-4372-ND
C11,47n,,,399-4372-ND
C12,47n,,,399-4372-ND
C5,10u,,,493-12772-1-ND
C6,10u,,,493-12772-1-ND
C3,10u,,,493-12772-1-ND
C1,10u,,,493-12772-1-ND
U2,OPA209-SOT23,,,296-28152-1-ND
U3,OPA209-SOT23,,,296-28152-1-ND
U9,OPA209-SOT23,,,296-28152-1-ND
R10,10k,,,10.0KXBK-ND
R11,47,,,S47CACT-ND
R13,47,,,S47CACT-ND
R2,4.99k,,,4.99KXBK-ND
R1,4.99k,,,4.99KXBK-ND
R3,4.99k,,,4.99KXBK-ND
R15,1k,,,1.00KXBK-ND
R16,1k,,,1.00KXBK-ND
R17,1k,,,1.00KXBK-ND
R4,1k,,,1.00KXBK-ND
R18,1.5k,,,1.50KXBK-ND
R20,1.5k,,,1.50KXBK-ND
U12,MC7805C,TO-220,,NCP7805TGOS-ND
C25,2700u,,,565-1830-ND
C28,470n,,,445-8425-ND
D5,1N4001,,,1N4001-TPMSCT-ND
D7,RL205,,,RL205-TPCT-ND
C22,C,,
R22,R,,
C21,C,,
R21,R,,
T2,TRIAD-FS48-750-C2,,,237-1485-ND
T1,TRIAD-FS16-400-C2,,,237-1504-ND
J3,IEC-C13-SOCKET,,,CCM1724-ND
U14,LM7918CT,TO-220,,MC7918CTGOS-ND
U13,LM7818CT,TO-220,,MC7818CTGOS-ND
C31,1u,,,478-5812-ND
U10,P0720ECL,,,F5278-ND
C23,2700u,,,565-1830-ND
C26,2700u,,,565-1830-ND
C24,2700u,,,565-1830-ND
C27,2700u,,,565-1830-ND
C32,1u,,,478-5812-ND
C33,1u,,,478-5812-ND
C29,470n,,,445-8425-ND
C30,470n,,,445-8425-ND
D11,RL205,,,RL205-TPCT-ND
D8,RL205,,,RL205-TPCT-ND
D12,RL205,,,RL205-TPCT-ND
D9,1N4001,,,1N4001-TPMSCT-ND
D6,1N4001,,,1N4001-TPMSCT-ND
D10,1N4001,,,1N4001-TPMSCT-ND
U11,P0720ECL,,,F5278-ND
D13,1N4001,,,1N4001-TPMSCT-ND
D14,1N4001,,,1N4001-TPMSCT-ND
D15,1N4001,,,1N4001-TPMSCT-ND
