"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"MH,MH,MH,MH,MH";"Mounting_Holes:MountingHole_5mm";5;"MountingHole_5mm_RevA_Date21Jun2010";;;
2;"C1,C3,C4,C5,C6";"Capacitors_Elko_ThroughHole:Elko_vert_DM5_RM2";5;"10u";;;
3;"C2,C40,C41";"Capacitors_Elko_ThroughHole:Elko_vert_DM5_RM2";3;"47u";;;
4;"C7,C8,C9,C14";"Capacitors_ThroughHole:Capacitor10x16RM5";4;"470u";;;
5;"C10,C11,C12,C18";"Capacitors_ThroughHole:Capacitor7.5MMDiscRM5";4;"47n";;;
6;"C13,C15,C16,C17,C19,C20,C30,C31,C32,C42,C43,C44,C45";"Capacitors_ThroughHole:Capacitor3MMDiscRM2.5";13;"470n";;;
7;"C21,C23";"Capacitors_ThroughHole:Capacitor18x6RM15";2;"150n";;;
8;"C22,C24";"Capacitors_ThroughHole:Capacitor13x4RM10";2;"10n";;;
9;"C25,C26,C27,C28,C29";"Capacitors_ThroughHole:Capacitor16x25RM7.5";5;"2700u";;;
10;"C33,C34,C35";"Capacitors_ThroughHole:Capacitor5x6RM2.5";3;"1u";;;
11;"C36,C37";"Capacitors_ThroughHole:Capacitor18x7RM15";2;"6.2n";;;
12;"C38,C39";"Capacitors_ThroughHole:Capacitor5x11RM2.5";2;"22u";;;
13;"D1,D3";"Diodes_ThroughHole:Diode_DO-41_SOD81_Horizontal_RM10";2;"1N4745";;;
14;"D2";"Diodes_ThroughHole:Diode_DO-41_SOD81_Horizontal_RM10";1;"1N4731";;;
15;"D4";"Diodes_ThroughHole:Diode_DO-41_SOD81_Horizontal_RM10";1;"1N4734";;;
16;"D5,D6,D9,D10,D13,D14,D15";"Diodes_ThroughHole:Diode_DO-41_SOD81_Horizontal_RM10";7;"1N4001";;;
17;"D7,D8,D11,D12";"Diodes_ThroughHole:Diode_DO-201AD_Horizontal_RM15";4;"RL205";;;
18;"D16,D17,D18,D19,D20,D21,D22,D23";"Diodes_ThroughHole:Diode_DO-35_SOD27_Horizontal_RM10";8;"1N4148";;;
19;"P1,P4";"Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_6pin_straight";2;"CONN_6";;;
20;"P5,P18,P19,P20,P21,P22";"Connect:1pin";6;"CONN_1";;;
21;"P8,P9,P10,P11,P12";"Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_2pin_straight";5;"CONN_2";;;
22;"P13";"Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_4pin_straight";1;"CONN_4";;;
23;"Q1,Q2";"Transistors_TO-220:TO-220_Neutral123_Vertical_LargePads";2;"BD241A";;;
24;"Q3";"Transistors_TO-220:TO-220_Neutral123_Vertical_LargePads";1;"BD242";;;
25;"R15,R16,R17,R4,R14";"Resistors_ThroughHole:Resistor_Horizontal_RM10mm";5;"1k";;;
26;"R19";"Resistors_ThroughHole:Resistor_Horizontal_RM10mm";1;"750";;;
27;"R20";"Resistors_ThroughHole:Resistor_Horizontal_RM10mm";1;"1.5k";;;
28;"R21,R22";"Resistors_ThroughHole:Resistor_Horizontal_RM15mm";2;"R";;;
29;"R23,R24";"Resistors_ThroughHole:Resistor_Horizontal_RM10mm";2;"56";;;
30;"R25,R26,R27,R28,R29,R30";"Resistors_ThroughHole:Resistor_Horizontal_RM10mm";6;"22k";;;
31;"R31,R32,R35,R36,R41,R42,R45,R46";"Resistors_ThroughHole:Resistor_Horizontal_RM10mm";8;"10k";;;
32;"R37,R38,R39,R40,R47,R48,R49,R50";"Resistors_ThroughHole:Resistor_Horizontal_RM10mm";8;"2.2k";;;
