Reference,Value,Footprint,Datasheet,DigiKey,Quantity
P5,CONN_1,Connect:1pin,,TS-132-T-A,1
Q1-2,BD241A,Transistors_TO-220:TO-220_Neutral123_Vertical_LargePads,,BD241CTU-ND,2
J2,RCA,Oddities:Dummy_Empty,,CP-1413-ND,1
U13,LM7818CT,Transistors_TO-220:TO-220_Neutral123_Vertical_LargePads,,MC7818CTGOS-ND,1
R53-54;R59-60,120,,,OD121JE-ND,4
R23-24,56,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,,56ADCT-ND,2
C2,47u,Capacitors_Elko_ThroughHole:Elko_vert_DM5_RM2,,493-12779-1-ND,1
Q3,BD242,Transistors_TO-220:TO-220_Neutral123_Vertical_LargePads,,BD242CGOS-ND,1
T1,TRIAD-FS20-300-C2,my-trafos:TRIAD_FS16_400_C2,,237-1503-ND,1
J3,IEC-C13-SOCKET,Oddities:Dummy_Empty,,CCM1724-ND,1
R4;R14-17,1k,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,,1.00KXBK-ND,5
C1;C3-6,10u,Capacitors_Elko_ThroughHole:Elko_vert_DM5_RM2,,493-12772-1-ND,5
C46-47,10u,Capacitors_Elko_ThroughHole:Elko_vert_DM5_RM2-5,,478-6062-ND,2
U12,MC7805C,Transistors_TO-220:TO-220_Neutral123_Vertical_LargePads,,NCP7805TGOS-ND,1
D4,1N4734,Diodes_ThroughHole:Diode_DO-41_SOD81_Horizontal_RM10,,1N4734AFSCT-ND,1
U4-6;U8,2N6507,Transistors_TO-220:TO-220_Neutral123_Vertical_LargePads,http://www.onsemi.com/pub_link/Collateral/2N6504-D.PDF,2N6507GOS-ND,4
U1-3;U9,OPA27,Sockets_DIP:DIP-8__300_ELL,,OPA27GP-ND,4
U7,REF02,Sockets_DIP:DIP-8__300_ELL,,REF02CPZ-ND,1
P8-12,CONN_2,Sockets_MOLEX_KK-System:Socket_MOLEX-KK-RM2-54mm_Lock_2pin_straight,,WM4200-ND,5
R8;R10,10k,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,,10.0KXBK-ND,2
